type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Zip Code,23114,White,21-Apr,0,13.25,4/8/2023
Zip Code,23114,White,21-May,1,13.25,4/8/2023
Zip Code,23114,White,21-Jun,0,7,4/8/2023
Zip Code,23114,White,21-Jul,2,11,4/8/2023
Zip Code,23114,White,21-Aug,4,8,4/8/2023
Zip Code,23114,White,21-Sep,1,15,4/8/2023
Zip Code,23114,White,21-Oct,1,10.75,4/8/2023
Zip Code,23114,White,21-Nov,8,12.75,4/8/2023
Zip Code,23114,White,21-Dec,7,8.75,4/8/2023
Zip Code,23114,White,22-Jan,3,16,4/8/2023
Zip Code,23114,White,22-Feb,4,9,4/8/2023
Zip Code,23114,White,22-Mar,3,11,4/8/2023
Zip Code,23114,White,22-Apr,7,13.25,4/8/2023
Zip Code,23114,White,22-May,7,13.25,4/8/2023
Zip Code,23114,White,22-Jun,7,7,4/8/2023
Zip Code,23114,White,22-Jul,9,11,4/8/2023
Zip Code,23114,White,22-Aug,23,8,4/8/2023
Zip Code,23114,White,22-Sep,21,15,4/8/2023
Zip Code,23114,White,22-Oct,13,10.75,4/8/2023
Zip Code,23114,White,22-Nov,8,12.75,4/8/2023
Zip Code,23114,White,22-Dec,6,8.75,4/8/2023
Zip Code,23114,White,23-Jan,15,16,4/8/2023
Zip Code,23114,White,23-Feb,8,9,4/8/2023
Zip Code,23114,White,23-Mar,19,11,4/8/2023
Zip Code,23114,White,23-Apr,1,1.5,4/8/2023
Zip Code,23120,White,20-Jan,0,0.5,4/8/2023
Zip Code,23120,White,20-Feb,1,1,4/8/2023
Zip Code,23120,White,20-Mar,0,0.25,4/8/2023
Zip Code,23120,White,20-Apr,0,1,4/8/2023
Zip Code,23120,White,20-May,0,0.25,4/8/2023
Zip Code,23120,White,20-Jun,0,0.5,4/8/2023
Zip Code,23120,White,20-Jul,0,0.75,4/8/2023
Zip Code,23120,White,20-Aug,1,0.5,4/8/2023
Zip Code,23120,White,20-Sep,0,0.25,4/8/2023
Zip Code,23120,White,20-Oct,0,0.5,4/8/2023
Zip Code,23120,White,20-Nov,0,1,4/8/2023
Zip Code,23120,White,20-Dec,0,0.25,4/8/2023
Zip Code,23120,White,21-Jan,1,0.5,4/8/2023
Zip Code,23120,White,21-Feb,0,1,4/8/2023
Zip Code,23120,White,21-Mar,0,0.25,4/8/2023
