school,accred,school_type,address,latitude,longitude,eng_acad_ach,math_acad_ach,sci_acad_ach,eng_ach_gap,math_ach_gap,chro_abs,dropout_rate,grad_rate,econ_disadv,disabilities,black,hispanic,white,eng_learners,grad_rate,dropout_rate
Thomas C. Boushall Middle,Accredited with Conditions,Middle,"3400 Hopkins Rd Richmond, VA 23234-2404",37.47285,-77.46929,3,3,3,3,3,2,,,75,15.5,51.6,44,1.8,38.8,,
Armstrong High,Accredited with Conditions,High,"2300 Cool Lane Richmond, VA 23223-4196",37.55241,-77.40312,2,3,3,3,3,3,2,3,85.4,27.3,90.2,4.2,3.1,1.6,75.7,16.58
George Wythe High,Accredited with Conditions,High," 4314 Crutchfield St Richmond, VA 23225-4767",37.5104,-77.48305,3,3,3,3,3,3,3,3,60.1,14.8,41.7,54.4,2.4,41.4,54.8,43.81
Huguenot High,Accredited with Conditions,High,"7945 Forest Hill Ave Richmond, VA 23225-1998",37.53057,-77.54223,2,1,3,3,2,3,2,1,62.8,12.6,53.4,38,6.3,27.1,80.6,15.96
John Marshall High,Accredited with Conditions,High,"4225 Old Brook Rd Richmond, VA 23227-3898",37.5943,77.44512,1,1,3,2,2,1,1,1,72,21.5,79.5,4.7,12.7,2.3,91.6,4.92
Open High,Accredited,High,"600 S Pine St Richmond, VA 23220-6501",37.53763,-77.45082,1,1,1,1,1,1,1,1,37,1.6,37,18.5,39.1,3.3,100,0
Richmond Career Education and Employment Charter School,Accredited,High,"4314 Crutchfield Street Richmond, VA 23225",37.5104,-77.48305,1,1,1,,1,2,1,1,,,,,,,,
Richmond Community High,Accredited,High,"201 E Brookland Park Boulevard Richmond, VA 23222-2722",37.56838,-77.43025,1,1,1,1,1,1,1,1,36.5,0.5,57.5,9.5,25.5,1.5,100,0
Thomas Jefferson High,Accredited with Conditions,High,"4100 W Grace St Richmond, VA 23230-3802",37.5716,-77.48619,1,3,3,2,3,2,1,1,61.7,16.4,63.9,9.2,22.5,2.4,91.2,5.22
Amelia Street Special Education,Accredited with Conditions,Combined K-12,"1821 Amelia St Richmond, VA 23220-6696",37.53864,-77.4701,3,3,,2,3,3,,,,,,,,,,
Franklin Military Academy,Accredited,Combined 6-12,"701 North 37th Street Richmond, VA 23223",37.52874,-77.40388,1,1,1,1,2,1,1,1,62.1,4.4,60.4,24.6,11.9,13,100,0
Richmond Alternative,Accredited with Conditions,Combined 6-12,"119 West Leigh Street, Richmond, VA 23220",37.54912,-77.44119,1,3,2,3,3,2,3,3,89.5,29.6,89.5,3.7,3.1,3.1,33.1,50.57
